token,kelas,bobot
Iskan,Ekonomi,0.0
IwanPiliang,Ekonomi,9.567566E-5
Izrail,Ekonomi,0.0
JKW4P,Ekonomi,0.0
JKWaInd,Ekonomi,5.4671807E-5
JKWaP,Ekonomi,0.0
JOKOWI,Ekonomi,0.0
JPNN,Ekonomi,2.7335904E-5
JTmor,Ekonomi,4.1003856E-5
Jakarta,Ekonomi,0.0
Jakut,Ekonomi,0.0
Jasmev,Ekonomi,1.3667952E-5
Jatim,Ekonomi,3.293185E-4
Jawa,Ekonomi,2.7335904E-5
JkwaInd,Ekonomi,0.0
Joko,Ekonomi,9.567566E-5
Jokowi,Ekonomi,0.0
JokowiCentre,Ekonomi,0.0
JokowiJK,Ekonomi,6.833976E-5
Jokowi_do,Ekonomi,0.0
JokowiaMe,Ekonomi,1.6401542E-4
JokowiforPresident,Ekonomi,2.7335904E-5
Jusuf,Ekonomi,0.0
KSPI,Ekonomi,1.3667952E-4
Kalangan,Ekonomi,0.0
Kalla,Ekonomi,0.0
KartikaDjumadi,Ekonomi,1.2301157E-4
KilasIndonesia,Ekonomi,4.1003856E-5
Kunjungi,Ekonomi,1.3667952E-5
Lyrik,Ekonomi,0.0
Mahfud,Ekonomi,0.0
MangUsil,Ekonomi,4.1003856E-5
MayDay,Ekonomi,0.0
Megawati,Ekonomi,1.3667952E-4
Metro_TV,Ekonomi,6.287258E-4
Mojokerto,Ekonomi,0.0
Muhaimin,Ekonomi,1.3667952E-5
Musrenbangnas,Ekonomi,0.0
MustofaNahra,Ekonomi,0.0
NEWS,Ekonomi,2.7335904E-5
NKRI,Ekonomi,4.1003856E-5
NMCBINUSroia,Ekonomi,0.0
NasDem,Ekonomi,0.0
Nasdem,Ekonomi,0.0
News,Ekonomi,0.0
Ngotot,Ekonomi,1.3667952E-5
Nonton,Ekonomi,0.0
Online,Ekonomi,1.3667952E-5
OpenFollow,Ekonomi,6.833976E-5
Outsourcing,Ekonomi,2.7335904E-5
PDIP,Ekonomi,1.2301157E-4
PDI_Perjuangan,Ekonomi,0.0
PRABOWO,Ekonomi,1.3667952E-5
PartaiSocmed,Ekonomi,3.143629E-4
Pelayan,Ekonomi,0.0
Pencapresan,Ekonomi,2.7335904E-5
Pilpres,Ekonomi,9.567566E-5
Prabowo,Ekonomi,0.0
Prabowoob,Ekonomi,0.0
Pranowo,Ekonomi,3.2931846E-5
Proxy,Ekonomi,0.0
Recoki,Ekonomi,0.0
Relawan_jokowi,Ekonomi,1.6465924E-4
Republika,Ekonomi,2.7335904E-5
Rhoma,Ekonomi,1.3667952E-5
Rieke,Ekonomi,0.0
RigelDij,Ekonomi,1.3667952E-5
Ronnie_Rusli,Ekonomi,4.1003856E-5
Ryacudu,Ekonomi,1.3667952E-5
Ryamizard,Ekonomi,4.1003857E-4
Ryamizard_R,Ekonomi,1.3667952E-5
SBSI,Ekonomi,9.567566E-5
SBYudhoyono,Ekonomi,0.0
Sarah_Pnd,Ekonomi,3.2931846E-5
SaveAnasU,Ekonomi,0.0
SayaPilihJokowi,Ekonomi,6.833976E-5
Sekjen,Ekonomi,1.3667952E-5
Setelah,Ekonomi,4.1003856E-5
Subianto,Ekonomi,3.2931846E-5
Tangerang,Ekonomi,2.7335904E-5
TeamFollowBack,Ekonomi,8.200771E-5
Temui,Ekonomi,2.7335904E-5
Tertawaan,Ekonomi,0.0
Tina_Talisa,Ekonomi,0.0
Transparent,Ekonomi,0.0
Tribun,Ekonomi,1.3667952E-5
TrioMacan,Ekonomi,0.0
TuitIndonesia,Ekonomi,0.0
VIVAPemilu,Ekonomi,0.0
VIVAnews,Ekonomi,0.0
WJB__,Ekonomi,2.7335904E-5
Widodo,Ekonomi,5.4671807E-5
YouTube,Ekonomi,5.4671807E-5
Yuddy,Ekonomi,0.0
_,Ekonomi,0.0
a,Ekonomi,0.0
aPartaiSocmed,Ekonomi,2.7335904E-5
abubakarsidiqjj,Ekonomi,2.7335904E-5
aburizalbakrie,Ekonomi,0.0
acan000,Ekonomi,0.0
acara,Ekonomi,1.3667952E-5
ada,Ekonomi,0.0
adalah,Ekonomi,0.0
adetikcom,Ekonomi,0.0
adik,Ekonomi,0.0
adil,Ekonomi,0.0
adu,Ekonomi,4.1003856E-5
agama,Ekonomi,0.0
agar,Ekonomi,0.0
ah,Ekonomi,0.0
ahok,Ekonomi,0.0
ajak,Ekonomi,6.833976E-5
ajar,Ekonomi,0.0
akan,Ekonomi,0.0
akhir,Ekonomi,8.200771E-5
akompascom,Ekonomi,2.7335904E-5
aksi,Ekonomi,0.0
aku,Ekonomi,0.0
akun,Ekonomi,0.0041494127
al,Ekonomi,0.0
ala,Ekonomi,0.0
alami,Ekonomi,0.0
alas,Ekonomi,1.3667952E-5
alhamdulillah,Ekonomi,0.0
aliputangdotcom,Ekonomi,2.7335904E-5
aman,Ekonomi,0.0
amat,Ekonomi,1.5034748E-4
ambil,Ekonomi,1.3667952E-5
ambulans,Ekonomi,0.0
amohmahfudmd,Ekonomi,1.3667952E-5
amrbodel,Ekonomi,0.0
anak,Ekonomi,0.0
anda,Ekonomi,0.0
aneh,Ekonomi,1.2301157E-4
anggap,Ekonomi,2.7335904E-5
antara,Ekonomi,0.0
antek,Ekonomi,1.3667952E-5
anti,Ekonomi,0.0
anull,Ekonomi,0.0
apa,Ekonomi,0.0
apakah,Ekonomi,4.1003856E-5
apalagi,Ekonomi,0.0
arah,Ekonomi,4.1003856E-5
arb,Ekonomi,0.0
arepublikaonline,Ekonomi,0.0
arti,Ekonomi,6.833976E-5
as,Ekonomi,4.1003856E-5
asal,Ekonomi,1.9135133E-4
asing,Ekonomi,2.7335904E-5
asli,Ekonomi,5.4671807E-5
asmev014,Ekonomi,1.3667952E-5
atas,Ekonomi,0.0
atau,Ekonomi,0.0
awal,Ekonomi,2.7335904E-5
ayo,Ekonomi,6.833976E-5
b,Ekonomi,1.3667952E-5
baca,Ekonomi,9.567566E-5
bagai,Ekonomi,0.0
bagaimana,Ekonomi,4.1003856E-5
bagi,Ekonomi,1.3667952E-5
bagus,Ekonomi,4.1003856E-5
bahan,Ekonomi,4.1003856E-5
bahas,Ekonomi,0.0
bahkan,Ekonomi,8.200771E-5
bahwa,Ekonomi,4.1003856E-5
baik,Ekonomi,0.0
baju,Ekonomi,6.586369E-5
bakal,Ekonomi,1.3667952E-5
bakar,Ekonomi,7.9036434E-4
balik,Ekonomi,1.7768338E-4
banding,Ekonomi,6.586369E-5
bang,Ekonomi,1.3667952E-4
banget,Ekonomi,6.833976E-5
bangga,Ekonomi,0.0
bangsa,Ekonomi,2.7335904E-5
bangun,Ekonomi,0.0
bangunsiap,Ekonomi,0.0
banjir,Ekonomi,2.7335904E-5
bantu,Ekonomi,9.567566E-5
banyak,Ekonomi,0.0
bapak,Ekonomi,0.0
baris,Ekonomi,0.0
baru,Ekonomi,1.3667952E-4
basuki_btp,Ekonomi,0.0
batal,Ekonomi,0.0
bawa,Ekonomi,5.4671807E-5
bayang,Ekonomi,2.7335904E-5
bayar,Ekonomi,0.0
bbm,Ekonomi,2.8702698E-4
beda,Ekonomi,1.3667952E-5
been,Ekonomi,0.0
begini,Ekonomi,4.1003856E-5
begitu,Ekonomi,0.0
bela,Ekonomi,4.1003856E-5
belakang,Ekonomi,0.0
beli,Ekonomi,0.0
beliau,Ekonomi,0.0
belum,Ekonomi,0.0
benar,Ekonomi,0.0
benci,Ekonomi,9.567566E-5
bentuk,Ekonomi,5.4671807E-5
berani,Ekonomi,0.0
berapa,Ekonomi,1.3667952E-5
beri,Ekonomi,6.833976E-5
berita,Ekonomi,0.0
bersih,Ekonomi,1.3667952E-5
besar,Ekonomi,6.9706555E-4
besok,Ekonomi,2.7335904E-5
betul,Ekonomi,4.1003856E-5
biar,Ekonomi,0.0
biasa,Ekonomi,1.3667952E-5
biaya,Ekonomi,0.0033590484
bicara,Ekonomi,0.0
bijak,Ekonomi,1.3667952E-5
bikin,Ekonomi,1.2301157E-4
bila,Ekonomi,1.3667952E-5
bilang,Ekonomi,1.9135133E-4
bisa,Ekonomi,0.0
blusukan,Ekonomi,5.4671807E-5
bodoh,Ekonomi,0.0
bohong,Ekonomi,4.1003856E-5
boleh,Ekonomi,4.1003856E-5
boneka,Ekonomi,1.3667952E-5
bos,Ekonomi,2.7335904E-5
botMotivasi,Ekonomi,0.0
btw,Ekonomi,0.0
bu,Ekonomi,0.0
buat,Ekonomi,0.0
budimandjatmiko,Ekonomi,0.0
buka,Ekonomi,8.200771E-5
bukan,Ekonomi,0.0
bukti,Ekonomi,4.1003856E-5
buku,Ekonomi,0.0
bulan,Ekonomi,1.7768338E-4
bung,Ekonomi,1.3667952E-5
bungkus,Ekonomi,6.586369E-5
buruh,Ekonomi,0.0
butuh,Ekonomi,1.3667952E-5
by,Ekonomi,0.0
cak,Ekonomi,0.0
calon,Ekonomi,0.0
capres,Ekonomi,0.0
cara,Ekonomi,0.0
cari,Ekonomi,0.0
catat,Ekonomi,0.0
cawapres,Ekonomi,6.833976E-5
cawapresnya,Ekonomi,6.833976E-5
cc,Ekonomi,0.0
celaka,Ekonomi,0.0
cerdas,Ekonomi,0.0
chirpified,Ekonomi,0.0
chirpstory,Ekonomi,0.0
cilik,Ekonomi,1.3667952E-5
cina,Ekonomi,1.3667952E-5
cinta,Ekonomi,1.3667952E-5
citra,Ekonomi,1.7768338E-4
coba,Ekonomi,6.833976E-5
cocok,Ekonomi,0.0
cont,Ekonomi,6.586369E-5
cukong,Ekonomi,6.833976E-5
cukup,Ekonomi,1.3667952E-5
culik,Ekonomi,1.3667952E-5
cuma,Ekonomi,0.0
d,Ekonomi,0.0
daerah,Ekonomi,0.0
daftar,Ekonomi,1.3667952E-5
dagang,Ekonomi,0.0019429789
dalam,Ekonomi,0.0
damping,Ekonomi,5.4671807E-5
dampingi,Ekonomi,5.598414E-4
dan,Ekonomi,0.0
dana,Ekonomi,1.6401542E-4
dapat,Ekonomi,0.0
dari,Ekonomi,1.3667952E-5
daripada,Ekonomi,0.0
datang,Ekonomi,1.3667952E-5
day,Ekonomi,3.690347E-4
deh,Ekonomi,0.0
dekat,Ekonomi,0.0
deklarasi,Ekonomi,0.0
demi,Ekonomi,0.0
demo,Ekonomi,0.0
demokrat,Ekonomi,0.0
dengan,Ekonomi,0.0
dengar,Ekonomi,2.7335904E-5
depan,Ekonomi,0.0
detik,Ekonomi,0.0
detikcom,Ekonomi,0.0
di,Ekonomi,5.4671807E-5
dia,Ekonomi,1.9135133E-4
dialog,Ekonomi,0.0
didik,Ekonomi,6.586369E-5
diri,Ekonomi,1.09343615E-4
dki,Ekonomi,0.0
do,Ekonomi,0.0
dong,Ekonomi,0.0
dosa,Ekonomi,2.1868723E-4
dua,Ekonomi,2.1868723E-4
dubes,Ekonomi,1.3667952E-5
duet,Ekonomi,1.3667952E-4
duga,Ekonomi,0.0
dukung,Ekonomi,0.0
dulu,Ekonomi,0.0
dunia,Ekonomi,0.0
eh,Ekonomi,0.0
ekonomi,Ekonomi,0.0032931846
elite,Ekonomi,1.3667952E-5
emang,Ekonomi,3.2931846E-5
era,Ekonomi,0.0
etis,Ekonomi,8.747489E-4
fadjruL,Ekonomi,9.879554E-5
fakta,Ekonomi,1.3667952E-5
farhatabbaslaw,Ekonomi,0.0
fitnah,Ekonomi,1.3667952E-4
for,Ekonomi,2.7335904E-5
foto,Ekonomi,0.0
frans_surya,Ekonomi,0.0
g,Ekonomi,0.0
ga,Ekonomi,0.0
gabung,Ekonomi,0.0
gagal,Ekonomi,1.6401542E-4
gaji,Ekonomi,0.0032931846
gak,Ekonomi,9.567566E-5
galau,Ekonomi,0.0
gambar,Ekonomi,6.586369E-5
ganjar,Ekonomi,4.2370651E-4
gara,Ekonomi,1.3667952E-5
gbk,Ekonomi,1.09343615E-4
giat,Ekonomi,0.0
gila,Ekonomi,8.200771E-5
grup,Ekonomi,0.0
gub,Ekonomi,2.7335904E-5
gubernur,Ekonomi,9.5675664E-4
guna,Ekonomi,5.4671807E-5
guru,Ekonomi,9.879554E-5
h,Ekonomi,0.0
ha,Ekonomi,0.0
hadap,Ekonomi,5.4671807E-5
hadiah,Ekonomi,0.0
hadir,Ekonomi,2.7335904E-5
hadiri,Ekonomi,3.2931846E-5
hafidz_ary,Ekonomi,4.1003856E-5
hak,Ekonomi,3.2931846E-5
hal,Ekonomi,0.0
ham,Ekonomi,0.0
hamzah,Ekonomi,1.3667952E-5
hanya,Ekonomi,0.0
hapus,Ekonomi,0.0
harap,Ekonomi,0.0
harga,Ekonomi,0.007113279
hari,Ekonomi,0.0
harus,Ekonomi,0.0
has,Ekonomi,0.0
hasil,Ekonomi,2.7335904E-5
hati,Ekonomi,0.0
haz,Ekonomi,0.0
he,Ekonomi,1.3667952E-5
hebat,Ekonomi,2.7335904E-5
heboh,Ekonomi,0.0
henti,Ekonomi,0.0
hidup,Ekonomi,6.833976E-5
hilang,Ekonomi,4.1003856E-5
hina,Ekonomi,4.1003856E-5
hingga,Ekonomi,3.2931846E-5
hitam,Ekonomi,2.7335904E-5
honorer,Ekonomi,0.0
http,Ekonomi,0.0
httpt,Ekonomi,0.0
httptc,Ekonomi,0.0
httptco,Ekonomi,0.0
httptcoe91SeQ3NYc,Ekonomi,4.1003856E-5
hukum,Ekonomi,0.0
hura,Ekonomi,1.09343615E-4
i,Ekonomi,4.1003856E-5
ibu,Ekonomi,4.1003856E-5
ide,Ekonomi,1.3667952E-5
ideal,Ekonomi,8.2007714E-4
ikan,Ekonomi,4.1003856E-5
ikut,Ekonomi,4.1003856E-5
imbau,Ekonomi,0.0
impor,Ekonomi,0.0
in,Ekonomi,1.3667952E-5
indogroupon,Ekonomi,4.1003856E-5
indonesia,Ekonomi,0.0
indosiar,Ekonomi,0.0
info,Ekonomi,1.3667952E-5
ingat,Ekonomi,2.7335904E-5
ingin,Ekonomi,0.0
ingkar,Ekonomi,1.6401542E-4
ini,Ekonomi,0.0
inilahdotcom,Ekonomi,2.9638663E-4
internasional,Ekonomi,2.1868723E-4
interupsi,Ekonomi,0.0
ipb,Ekonomi,0.0
irama,Ekonomi,0.0
is,Ekonomi,2.7335904E-5
isi,Ekonomi,0.0
islam,Ekonomi,0.0
istana,Ekonomi,0.0
isu,Ekonomi,0.0
itu,Ekonomi,0.0
iya,Ekonomi,0.0
jabat,Ekonomi,9.567566E-5
jadi,Ekonomi,0.0
jaga,Ekonomi,0.0
jahat,Ekonomi,0.0
jakarta,Ekonomi,1.3667952E-5
jalan,Ekonomi,9.567566E-5
jalin,Ekonomi,0.0
jam,Ekonomi,0.0
jangan,Ekonomi,0.0
janji,Ekonomi,0.0
jantung,Ekonomi,0.0
jasmev,Ekonomi,2.7335904E-5
jasmev014,Ekonomi,0.0
jauh,Ekonomi,0.0
jawab,Ekonomi,9.567566E-5
jd,Ekonomi,0.0
jelas,Ekonomi,0.0
jelek,Ekonomi,1.3667952E-5
jenguk,Ekonomi,2.7335904E-5
jfb,Ekonomi,0.0
jgn,Ekonomi,4.1003856E-5
jika,Ekonomi,1.2301157E-4
jil,Ekonomi,0.0
jk,Ekonomi,9.567566E-5
jkw,Ekonomi,1.5034748E-4
jkwap,Ekonomi,0.0
jok,Ekonomi,6.586369E-5
jokowi,Ekonomi,0.0
jokowi_do,Ekonomi,0.0
jokowiforpresident,Ekonomi,2.7335904E-5
jokowisamad,Ekonomi,9.567566E-5
jpnncom,Ekonomi,6.586369E-5
jual,Ekonomi,2.7335904E-5
juang,Ekonomi,0.0
juga,Ekonomi,0.0
jujur,Ekonomi,6.833976E-5
jumhur,Ekonomi,7.574325E-4
k,Ekonomi,0.0
kabar,Ekonomi,0.0
kader,Ekonomi,2.7335904E-5
kait,Ekonomi,1.7768338E-4
kakak,Ekonomi,0.0
kalah,Ekonomi,0.0
kalau,Ekonomi,0.0
kali,Ekonomi,0.0
kalian,Ekonomi,0.0
kalo,Ekonomi,0.0
kami,Ekonomi,0.0
kampanye,Ekonomi,0.0
kamu,Ekonomi,0.0
kan,Ekonomi,1.2301157E-4
kantor,Ekonomi,0.0
kaos,Ekonomi,0.0
kapan,Ekonomi,1.3667952E-5
karena,Ekonomi,3.416988E-4
kasi,Ekonomi,0.0
kasih,Ekonomi,2.7335904E-5
kasus,Ekonomi,2.7335904E-5
kata,Ekonomi,0.0
kaum,Ekonomi,0.0
kawan,Ekonomi,0.0
kaya,Ekonomi,2.7335904E-5
kayak,Ekonomi,2.7335904E-5
ke,Ekonomi,0.0
kecewa,Ekonomi,6.833976E-5
kejora,Ekonomi,0.0
keluar,Ekonomi,2.7335904E-5
keluarga,Ekonomi,0.0
kemarin,Ekonomi,0.0
kembali,Ekonomi,2.7335904E-5
kemeja,Ekonomi,1.3667952E-5
kena,Ekonomi,4.1003856E-5
kenal,Ekonomi,2.7335904E-5
kenapa,Ekonomi,0.0
kepada,Ekonomi,6.833976E-5
keranda,Ekonomi,2.7335904E-5
kerap,Ekonomi,0.0
keren,Ekonomi,2.7335904E-5
kerja,Ekonomi,0.0
ketika,Ekonomi,0.0
ketua,Ekonomi,0.0
khusus,Ekonomi,1.9759109E-4
kian,Ekonomi,2.7335904E-5
kini,Ekonomi,5.4671807E-5
kira,Ekonomi,0.0
kita,Ekonomi,0.0
klo,Ekonomi,2.7335904E-5
koalisi,Ekonomi,3.293185E-4
kode,Ekonomi,0.0
kok,Ekonomi,0.0
komitmen,Ekonomi,6.833976E-5
kompascom,Ekonomi,1.3667952E-4
kompasiana,Ekonomi,0.0
komunikasi,Ekonomi,0.0
kondisi,Ekonomi,1.3667952E-5
konfederasi,Ekonomi,3.2931846E-5
kontra,Ekonomi,2.7335904E-5
kontrak,Ekonomi,0.0
korantempo,Ekonomi,5.4671807E-5
korupsi,Ekonomi,8.200771E-5
kota,Ekonomi,1.3667952E-5
kotak,Ekonomi,1.3667952E-5
kpk,Ekonomi,5.4671807E-5
kritik,Ekonomi,2.7335904E-4
kritik_us,Ekonomi,6.586369E-5
kritisi,Ekonomi,0.0
ksn,Ekonomi,5.4671807E-5
kuasa,Ekonomi,9.879554E-5
kuat,Ekonomi,2.1868723E-4
kubu,Ekonomi,0.0
kuda,Ekonomi,0.0
kumpul,Ekonomi,3.2931846E-5
kurang,Ekonomi,2.7335904E-5
kurawa,Ekonomi,4.1003856E-5
kursi,Ekonomi,0.0
lagi,Ekonomi,0.0
lagu,Ekonomi,0.0
lah,Ekonomi,0.0
lahir,Ekonomi,5.4671807E-5
lain,Ekonomi,0.0
laki,Ekonomi,4.1003856E-5
laku,Ekonomi,0.0
lalu,Ekonomi,0.0
lama,Ekonomi,4.1003856E-5
langgar,Ekonomi,2.7335904E-5
langgeng,Ekonomi,1.3667952E-5
langsung,Ekonomi,0.0
lanjut,Ekonomi,0.0
lapor,Ekonomi,0.0
lawan,Ekonomi,2.7335904E-5
layak,Ekonomi,0.0
lbh,Ekonomi,6.833976E-5
lebih,Ekonomi,0.0
lewat,Ekonomi,8.200771E-5
lho,Ekonomi,0.0
lihat,Ekonomi,2.7335904E-4
liputangdotcom,Ekonomi,0.0
loh,Ekonomi,6.833976E-5
lokal,Ekonomi,0.0
lokalisasi,Ekonomi,0.0
lol,Ekonomi,2.7335904E-5
luar,Ekonomi,8.8841683E-4
lucu,Ekonomi,0.0
lupa,Ekonomi,6.833976E-5
m,Ekonomi,0.0
ma,Ekonomi,1.3667952E-5
macam,Ekonomi,0.0
macet,Ekonomi,2.7335904E-5
mah,Ekonomi,0.0
mahfud,Ekonomi,0.0
main,Ekonomi,0.0
maju,Ekonomi,2.7335904E-5
maka,Ekonomi,4.1003856E-5
makan,Ekonomi,1.3667952E-5
makin,Ekonomi,0.0
maksud,Ekonomi,0.0
malaikat,Ekonomi,0.0
malam,Ekonomi,5.4671807E-5
malu,Ekonomi,5.4671807E-5
mampu,Ekonomi,4.1003856E-5
mana,Ekonomi,0.0
mandat,Ekonomi,0.0
mantap,Ekonomi,1.3667952E-5
marah,Ekonomi,0.0
mari,Ekonomi,0.0
mas,Ekonomi,4.1003856E-5
masa,Ekonomi,0.0
masalah,Ekonomi,0.0
masih,Ekonomi,0.0
massa,Ekonomi,0.0
masuk,Ekonomi,0.0
masyarakat,Ekonomi,5.4671807E-5
mata,Ekonomi,0.0
mati,Ekonomi,1.09343615E-4
mau,Ekonomi,0.0
may,Ekonomi,3.5536676E-4
mbak,Ekonomi,0.0
md,Ekonomi,8.200771E-5
media,Ekonomi,0.0
mega,Ekonomi,0.0
mei,Ekonomi,0.0
memang,Ekonomi,1.09343615E-4
menang,Ekonomi,8.200771E-5
mental,Ekonomi,0.0
menteri,Ekonomi,0.0
merdekadotcom,Ekonomi,1.3667952E-4
mereka,Ekonomi,2.7335904E-5
mikir,Ekonomi,0.0
milih,Ekonomi,2.7335904E-5
milik,Ekonomi,0.0
militer,Ekonomi,1.3667952E-5
min,Ekonomi,1.3667952E-5
minta,Ekonomi,0.0
misi,Ekonomi,5.4671807E-5
misteri,Ekonomi,0.0
mmd,Ekonomi,1.2301157E-4
mobil,Ekonomi,0.0
moga,Ekonomi,1.3667952E-5
mohmahfudmd,Ekonomi,0.0
moral,Ekonomi,6.833976E-5
mpr,Ekonomi,0.0
mrk,Ekonomi,0.0
muda,Ekonomi,1.3667952E-5
mudah,Ekonomi,1.3667952E-5
mulai,Ekonomi,5.4671807E-5
muncul,Ekonomi,0.0
mundur,Ekonomi,0.0
mungkin,Ekonomi,2.7335904E-5
murah,Ekonomi,7.245006E-4
nah,Ekonomi,4.1003856E-5
naik,Ekonomi,4.1003857E-4
nak,Ekonomi,0.0
nama,Ekonomi,0.0
namun,Ekonomi,0.0
nanti,Ekonomi,0.0
nas,Ekonomi,0.0
nasi,Ekonomi,6.586369E-5
nasib,Ekonomi,0.0
nasional,Ekonomi,0.0
negara,Ekonomi,2.3052293E-4
negeri,Ekonomi,2.7335904E-5
news,Ekonomi,0.0
nilai,Ekonomi,0.02318402
no,Ekonomi,1.3667952E-5
nol,Ekonomi,3.9518217E-4
nomor,Ekonomi,0.0
nonarray,Ekonomi,4.1003856E-5
ntt,Ekonomi,1.09343615E-4
nu,Ekonomi,0.0
nusantara,Ekonomi,0.0
nya,Ekonomi,0.0
nyapres,Ekonomi,5.4671807E-5
nyata,Ekonomi,0.0
o,Ekonomi,1.5034748E-4
of,Ekonomi,0.0
ogah,Ekonomi,0.0
oh,Ekonomi,0.0
okezonenews,Ekonomi,2.7335904E-5
okowi,Ekonomi,0.0
oleh,Ekonomi,8.200771E-5
om,Ekonomi,0.0
opahcuki,Ekonomi,2.7335904E-5
orang,Ekonomi,0.0
orasi,Ekonomi,2.7335904E-5
otak,Ekonomi,1.7768338E-4
outsourching,Ekonomi,0.0
outsourcing,Ekonomi,0.0
p,Ekonomi,0.0
pada,Ekonomi,0.0
padahal,Ekonomi,0.0
padu,Ekonomi,0.0
pagi,Ekonomi,2.7335904E-5
paham,Ekonomi,0.0
pak,Ekonomi,0.0
pakai,Ekonomi,1.3667952E-4
paling,Ekonomi,0.0
pan,Ekonomi,0.0
pangan,Ekonomi,0.0
pantas,Ekonomi,2.7335904E-5
para,Ekonomi,0.0
partai,Ekonomi,0.0
partaisocmed,Ekonomi,1.3667952E-5
pas,Ekonomi,2.8702698E-4
pasang,Ekonomi,0.0
pasar,Ekonomi,0.0034907756
pasrah,Ekonomi,4.1003856E-5
pasti,Ekonomi,1.3667952E-4
pasu,Ekonomi,1.3667952E-5
patok,Ekonomi,0.0
patungan,Ekonomi,0.0
pdi,Ekonomi,0.0
pdip,Ekonomi,2.7335904E-5
peduli,Ekonomi,0.0
pekik,Ekonomi,0.0
pelangi,Ekonomi,0.0
pencapresan,Ekonomi,0.0
penting,Ekonomi,1.09343615E-4
penuh,Ekonomi,6.833976E-5
percaya,Ekonomi,1.3667952E-5
perempuan,Ekonomi,2.7335904E-5
perintah,Ekonomi,0.0
peristiwa,Ekonomi,0.0
perlu,Ekonomi,0.0
pernah,Ekonomi,6.833976E-5
pesan,Ekonomi,1.3667952E-5
peta,Ekonomi,0.0
pihak,Ekonomi,4.510424E-4
pikir,Ekonomi,4.1003856E-5
pilih,Ekonomi,0.0
pilpres,Ekonomi,9.567566E-5
pilu,Ekonomi,0.0
pimpin,Ekonomi,1.09343615E-4
pintar,Ekonomi,0.0
pisah,Ekonomi,0.0
pkb,Ekonomi,8.200771E-5
pks,Ekonomi,1.3667952E-5
pkspiyungan,Ekonomi,8.200771E-5
pocong,Ekonomi,0.0
polisi,Ekonomi,0.0
politik,Ekonomi,9.567566E-5
popularitas,Ekonomi,0.0
populer,Ekonomi,0.0
poros,Ekonomi,4.1003856E-5
poster,Ekonomi,0.0
ppp,Ekonomi,0.0
prabowo,Ekonomi,0.0
prediksi,Ekonomi,0.0
presiden,Ekonomi,0.0
prestasi,Ekonomi,1.2301157E-4
pribumig,Ekonomi,1.3667952E-5
prihatin,Ekonomi,0.0
pro,Ekonomi,3.963706E-4
produk,Ekonomi,0.0
prof,Ekonomi,0.0
profesional,Ekonomi,9.567566E-5
program,Ekonomi,0.0
proxy,Ekonomi,0.0
prt,Ekonomi,5.4671807E-5
publik,Ekonomi,0.0
puja,Ekonomi,1.09343615E-4
puji,Ekonomi,2.9638663E-4
puluh,Ekonomi,6.586369E-5
pun,Ekonomi,9.567566E-5
punya,Ekonomi,0.0
putih,Ekonomi,1.3667952E-5
putus,Ekonomi,5.4671807E-5
ragu,Ekonomi,1.3667952E-5
rahasia,Ekonomi,0.0
raih,Ekonomi,6.697296E-4
rakyat,Ekonomi,0.0
ramping,Ekonomi,1.9759109E-4
rapat,Ekonomi,1.3667952E-5
rasa,Ekonomi,3.0069496E-4
ratu_adil,Ekonomi,0.0
