content,original_id,from,date_created,sentiment,original_sentiment
'Sma dl jokowi nyalon gub DKI didukung skrg berbalik? RT @TrioMacan2000 @alilamaya: kyknya kemarin dukung prabowo lha kok skrg om can brubah','461911742834933760','tanjung3mukti','2014-05-01 23:55:16','Other','Possibly Positive'
'RT @TrioMacan2000: 1. Eng ing eeng .. Muncul berita duet Jokowi - Ryamizard mengerucut jadi pasangan capres/cawapres dari PDIP. Bgmn kita m?','461911738888486912','eqillsjgdjk','2014-05-01 23:55:15','Other','Possibly Negative'
'Wew @niminemlaedere: @intel_TL: Eaaa eaaa >>> KSN Tangerang: Jokowi Bapak Upah Murah http://t.co/6zWO48fP7C','461911591013724160','inDeNisha','2014-05-01 23:54:39','Other','Possibly Positive'
'Nont?n Jokowi di Indosiar malahan ah eh ah eh thok... Meng luar negri ya diguyu... Digertak malahan ktungkul ah eh ah eh  kapan perange...','461911558394621952','BudiAyahNabilla','2014-05-01 23:54:32','Other','Possibly Negative'
'1. Eng ing eeng .. Muncul berita duet Jokowi - Ryamizard mengerucut jadi pasangan capres/cawapres dari PDIP. Bgmn kita menyikapinya ?','461911550194761730','TrioMacan2000','2014-05-01 23:54:30','Other','Possibly Negative'
'RT @dianprabandini: Jokowi Sri Sultan HB X Suswono:Stop&Ilegalkan Perdagangan Daging Anjing untuk Konsumsi di Indonesia http://t.co/qM3r4Va?','461911519576735744','littandoed','2014-05-01 23:54:22','Other','Possibly Negative'
'Jokowi Sri Sultan HB X Suswono:Stop&Ilegalkan Perdagangan Daging Anjing untuk Konsumsi di Indonesia http://t.co/qM3r4Va1G1 via @ChangeOrg_ID','461911389573894144','dianprabandini','2014-05-01 23:53:51','Other','Possibly Negative'
'kita di periksa dulu brow!hahaha namanya juga keluarga kaya raya. kalau jokowi si pedagang juga tiep hari bisa ketemu.','461911389053804544','DianSandiUtamaS','2014-05-01 23:53:51','Other','Possibly Positive'
'RT @RahmatHydayanto: #TeamFollowBack #RTS Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal... http://t.co/bevsufrecc?','461911344711999489','chanmpark96','2014-05-01 23:53:41','Other','Possibly Positive'
'Suka klo bapak @jokowi_do2 udah Ketawa.. Renyah sekali rasanya :\')','461911341385515008','DyahHandayani06','2014-05-01 23:53:40','Other','Possibly Positive'
'Noted @TrioMacan2000 @liputan6dotcom: Ketua SBSI: Jokowi jangan sok-sokan dukung buruh http://t.co/ChZMP8D0tb','461911236171407360','sulung_estu','2014-05-01 23:53:15','Other','Possibly Positive'
'RT @PartaiGolput53: Petani mana? #ngapusi @Presiden2014com: @jokowi_do2 Jokowi Mendapat Dukungan Serikat Petani Indonesia http://t.co/DimL?','461911220593782785','AgusWawanGunaw1','2014-05-01 23:53:11','Other','Possibly Positive'
'#TeamFollowBack #RTS Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal... http://t.co/bevsufrecc #OpenFollow #GAIN','461911214721757185','RahmatHydayanto','2014-05-01 23:53:10','Other','Possibly Positive'
'RT @christiyantosw: @RatnaSpaet @masbedjo @vrustl #JOKOWI juga manusia. ga ada capres sempurna  tp gw hrs milih. yg jelas bukan pelanggar h?','461911156357992449','Hugoriyanta1','2014-05-01 23:52:56','Other','Possibly Positive'
'iwan uye: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan se... http://t.co/bewp7tV2yV','461911137567506432','iwanuye3','2014-05-01 23:52:51','Other','Possibly Positive'
'reza news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan s... http://t.co/HCm7GphQCv','461911124292538368','rezauye7','2014-05-01 23:52:48','Other','Possibly Positive'
'morgan news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan... http://t.co/1WUp8uXYPs','461911125110435840','morganuye1','2014-05-01 23:52:48','Other','Possibly Positive'
'MENTION YG ASU SEKALI! :) @Dimasreevand: @YnovanYC jokowi pet kopet! Koe ngopo bengi2 OL?ngisi data wisudawan?','461911108924633088','YnovanYC','2014-05-01 23:52:44','Other','Possibly Negative'
'RT @INSRev: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/2PFnpw4vKm #blusblas','461911099148099584','blusblas','2014-05-01 23:52:42','Other','Possibly Positive'
'@wocowae Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/NYNXs63oi3 dtnws','461911092524892161','Qzry','2014-05-01 23:52:41','Other','Possibly Positive'
'anying wkwk@tehyung__rp: Lebih ngakak kalo jokowi pake bikinio_O@exohunjey: ngakak dohh (??o??) @jinsoewl jadi ngebayangin jokowi','461911076108394496','jinsoewl','2014-05-01 23:52:37','Other','Possibly Negative'
'Cc @PartaiSocmed @SangPemburu99: cc @Jasmev2014 RT@BamzTeHa: Tak Suka Kampanye Hitam Relawan Jokowi Balik Arah http://t.co/xOquCaINHJ','461911067996598272','wongalit18','2014-05-01 23:52:35','Negative','Negative'
'RT @hari_azet: Semangat benar jika lagi wawancarai Jokowi Andaikan Jokowi jadi presiden bersediakah dipilih menjadi menteri beliau? @Tina_T?','461911061055410176','indra_jalaludin','2014-05-01 23:52:33','Other','Possibly Positive'
'Waduh  gak salah nih Pak Jendral? RT @rimanews: Ryamizard Ryacudu Nyatakan Siap Dampingi Jokowi http://t.co/kqgh8EkcKc','461910996328525824','naynafi','2014-05-01 23:52:18','Other','Possibly Positive'
'[Detik] Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan sedi... http://t.co/haXcqEHnoL','461910998098509825','X5_Rachel','2014-05-01 23:52:18','Other','Possibly Positive'
'RT @TrioMacan2000: Kita bahas tentang rencana pasangan jokowi ryamizard ya ...kok bisa ? Kok bukan Ryamizard capres dan wapresnya siapa git?','461910931467825154','Ipung_Lombok','2014-05-01 23:52:02','Other','Possibly Positive'
'bento news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan ... http://t.co/BkX6aUh6Ul','461910928326270976','bentoholic1','2014-05-01 23:52:01','Other','Possibly Positive'
'hadi news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan s... http://t.co/w4SFKfAiOL','461910923578335232','hadiholic1','2014-05-01 23:52:00','Other','Possibly Positive'
'Bete dech am om @jokowi_do2 dikit2 msk media  dikit kerja tp kyk udah jd pahlawan kesiangan  sayanknya msk beritanya dikit2......','461910917614022658','pucuak_pancih','2014-05-01 23:51:59','Negative','Negative'
'NasDem: Yang tahu pendamping Jokowi cuma Mega  Jokowi  dan Tuhan  http://t.co/0xqyHUxyok. #sayapilihjokowi #jokowiforpresident','461910915831844865','anitacantilk','2014-05-01 23:51:58','Other','Possibly Negative'
'Itu kan kata mrk. Tanya sj siapa yg bayar bro... @gatot_suryo: @deddysitorus @AyubiAyub @Presiden2014com @jokowi_do2 undang 1 capres ??','461910900266385408','deddysitorus','2014-05-01 23:51:55','Other','Possibly Negative'
'bisma news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan ... http://t.co/1PcmHusyBF','461910891932315650','bismaholic1','2014-05-01 23:51:53','Positive','Positive'
'Semangat benar jika lagi wawancarai Jokowi Andaikan Jokowi jadi presiden bersediakah dipilih menjadi menteri beliau? @Tina_Talisa','461910855357972480','hari_azet','2014-05-01 23:51:44','Other','Possibly Positive'
'Mahfud MD pasrah jika tak dipilih Jokowi  http://t.co/0UJgcfmeav. #sayapilihjokowi #jokowiforpresident','461910813343629314','inggitcahaya','2014-05-01 23:51:34','Other','Possibly Positive'
'Kita bahas tentang rencana pasangan jokowi ryamizard ya ...kok bisa ? Kok bukan Ryamizard capres dan wapresnya siapa gitu ..','461910807421272065','TrioMacan2000','2014-05-01 23:51:33','Other','Possibly Positive'
'Jokowi=boneka!!RT@detikcom: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/k4Vf0CrB5o','461910784201592832','refiemoko','2014-05-01 23:51:27','Other','Possibly Positive'
'@YnovanYC jokowi pet kopet! Koe ngopo bengi2 OL?ngisi data wisudawan?','461910757714587648','Dimasreevand','2014-05-01 23:51:21','Other','Possibly Negative'
'jokowi oh jokowi bajunya ga ganti\'\' mungkin kotak\'\' satu almari :p tirakatan sambil manteng @Interupsi_ID','461910747975786497','anis_ef','2014-05-01 23:51:18','Other','Possibly Positive'
'#loperkoran Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/zCg7fgDT0U','461910737024061440','loperkoran','2014-05-01 23:51:16','Other','Possibly Positive'
'Kenapa Jokowi melepas baju kotak2 nya.  dan skrg ikut2an Dahlan Iskan suka pakai baju putih..  apakah Jokowi biar disebut \'Bersih\' gitu.....','461910722453057536','agus_instrum','2014-05-01 23:51:12','Other','Possibly Positive'
'egi news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan se... http://t.co/9G7JFCEfEd','461910679658582016','egiholic1','2014-05-01 23:51:02','Other','Possibly Positive'
'deni news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan s... http://t.co/cFELs1qckh','461910673325170689','deniholic2','2014-05-01 23:51:01','Other','Possibly Positive'
'dhyo news: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan s... http://t.co/nwU7tv8GJE','461910648721399809','dhyoholic','2014-05-01 23:50:55','Other','Possibly Positive'
'RT @kritik_us: Suka Bohong Ya RT @Suara_Egaliter: Alhamdulillah Sebagian Rakayat Sudah Sadar Siapa Sebenarnya @jokowi_do2 .. @Presiden2014?','461910636453036032','Suara_Egaliter','2014-05-01 23:50:52','Other','Possibly Positive'
'[ NEWS ] Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/iJ8R3eprSY #GaleriBerita','461910638273380352','GaleriBerita','2014-05-01 23:50:52','Other','Possibly Positive'
'@detikcom:Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIPtidak ada jokowi effect denagan jokowi suara PDIP malah turun drastis','461910603594883072','adyhendro','2014-05-01 23:50:44','Positive','Positive'
'bersama Jokowi - Abraham Samad  maka tercipta Indonesia Hebat Bebas Korupsi #jokowisamad','461910601715810304','mirandasantunia','2014-05-01 23:50:43','Other','Possibly Positive'
'@RatnaSpaet @masbedjo @vrustl #JOKOWI juga manusia. ga ada capres sempurna  tp gw hrs milih. yg jelas bukan pelanggar ham or lumpur lapindo','461910519608131584','christiyantosw','2014-05-01 23:50:24','Other','Possibly Positive'
'10.Jokowi percaya itu bisa direalisasikan kalau kita semua berjuang menciptakan kondisi industri nasional yang baik','461910495138562048','muhammadedi19','2014-05-01 23:50:18','Other','Possibly Positive'
'--> @detikcom : Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/nnJeeXjFUF','461910495348658177','Yoga_law','2014-05-01 23:50:18','Other','Possibly Positive'
'Aku perhatikan Media di indonesia ini mendewa kan jokowi  berapa bayarannya ya. kalau calon lain di buat buruk seburuk buruknya. MENGERIKAN','461910478176792577','adyhendro','2014-05-01 23:50:14','Other','Possibly Negative'
'Akur RT @senjakarta: Nonton Jokowi di Indosiar. Obrolan bareng Tina Talisa. Calon presiden kok nggak punya konsep gitu. Payah.','461910462158761985','bennyarnas','2014-05-01 23:50:10','Other','Possibly Negative'
'HARI BURUH 1 MEI Kecewa UMP DKI Jakarta  Buruh Usung Keranda Jokowi-Ahok http://t.co/ddPBrLF8d9','461910445675118592','antero_news','2014-05-01 23:50:06','Other','Possibly Negative'
'7.Jokowi mengungkapkan pada dasarnya ada tiga tuntutan buruh yang paling mendasar ','461910429695234048','muhammadedi19','2014-05-01 23:50:02','Other','Possibly Positive'
'6.ketiga  Jokowi berharap agar ke depannya para buruh lbh mengedepankan cara2 spt diskusi atau dialog sosial tuk menyampaikan aspirasinya.','461910406844272642','muhammadedi19','2014-05-01 23:49:57','Other','Possibly Negative'
'#FinaIcksanUntukmu Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal ... http://t.co/3tu9xcJPPc #FinaIcksanUntukmu','461910390926868481','LahKitaApaAtuh','2014-05-01 23:49:53','Other','Possibly Positive'
'5.Selanjutnya  yg kedua  Jokowi meminta agar seluruh pihak menghargai hak-hak konstitusi para buruh.','461910385591726080','muhammadedi19','2014-05-01 23:49:52','Other','Possibly Positive'
'Ah  mbaknya indosiar yg ngewawancarai jokowi nggak asik. Pertanyaannya menyudutkan. Takon po maido','461910383536533504','diaanuts','2014-05-01 23:49:51','Negative','Negative'
'4.Pertama  Jokowi mengucapkan selamat hari buruh ','461910366763495424','muhammadedi19','2014-05-01 23:49:47','Other','Possibly Positive'
'3.Ada tiga pernyataan Jokowi yang disampaikan terkait peringatan hari buruh internasional.','461910347104788480','muhammadedi19','2014-05-01 23:49:43','Other','Possibly Positive'
'#News Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/7uy2u4g5gm','461910324497510400','emikohatoyama','2014-05-01 23:49:37','Other','Possibly Positive'
'Petani mana? #ngapusi @Presiden2014com: @jokowi_do2 Jokowi Mendapat Dukungan Serikat Petani Indonesia http://t.co/DimLeBBMwE #Presiden2014','461910320005386242','PartaiGolput53','2014-05-01 23:49:36','Other','Possibly Positive'
'twitter Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluar... http://t.co/Q7CidRgoSc twitter','461910102086131712','madunStation','2014-05-01 23:48:44','Other','Possibly Positive'
'Ditanya tina talisa jokowi ayah spt apa 3 kata.dijawab dgn puluhan kata yg muter2.ga mudeng!!','461910078514155521','Regar69M','2014-05-01 23:48:39','Other','Possibly Negative'
'#JKW4P Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluar... http://t.co/0LejdcPGhF #KevinYR','461910022029447168','jakarta2001','2014-05-01 23:48:25','Other','Possibly Positive'
'Jadi Capres  Jokowi Dapat Dukungan dari Serikat Petani Indonesia  http://t.co/9OmuSImSsv. #sayapilihjokowi #jokowiforpresident','461909968644345856','inggitcahaya','2014-05-01 23:48:13','Other','Possibly Positive'
'@Prabowo08 capres yg py visi & misi yg jelas (komitmen) RT @rimanews: Relawan Jokowi Dukung Prabowo Subianto  Mantap! http://t.co/uVvA7nd5UF','461909952349483008','mohfajarsatria','2014-05-01 23:48:09','Positive','Positive'
'RT Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan sediki... http://t.co/7z1rULMQ5g RT','461909860611674112','MhmmdAbdullah','2014-05-01 23:47:47','Other','Possibly Positive'
'Jika satu2nya sarana buruh bersuara pak jokowi anggap hura2 .pantas dia tak pernah mendengar suara buruh #gagalpaham','461909832191070208','Soffulamin','2014-05-01 23:47:40','Other','Possibly Positive'
'#DetikCom Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/Cmnk6Kv4oj >','461909804257009664','Akbar_S12','2014-05-01 23:47:33','Other','Possibly Positive'
'#OpenFollow Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP m... http://t.co/BFhRDs9Yo1 #MentionForFollback','461909750309847040','Julie_Axiez','2014-05-01 23:47:21','Other','Possibly Positive'
'apus apus @detikcom: Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/VeNoD2up5x','461909718915506177','titissweetlola','2014-05-01 23:47:13','Other','Possibly Positive'
'RT @detikcom Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluark... http://t.co/4oWJHFUpkA ','461909708391989248','AabbJr','2014-05-01 23:47:11','Other','Possibly Positive'
'Jokowi Tak Suka Menunggang Kuda http://t.co/yYLLWx3qMj @Ahok_BasukiTP @Jokowi_Ina','461909678536937472','Ira_noii','2014-05-01 23:47:03','Other','Possibly Negative'
'@korantempo: Dua Organ Besar Serikat Buruh Ini Dukung Jokowi: Jokowi dinilai berani menaikkan upah minimum provinsi sebesar... hahaa Penipu','461909599147143168','adyhendro','2014-05-01 23:46:44','Other','Possibly Negative'
'#Info Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/3fAQPcgZOh','461909577009614848','ryanespede','2014-05-01 23:46:39','Other','Possibly Positive'
'@detikcom ga berkualitas! Ga malu ya sama tipuan sebelum pileg soal jokowi effect yg ga terbukti sedikitpun??!!','461909539764195330','Humberto_Osorio','2014-05-01 23:46:30','Other','Possibly Negative'
'-DETIK- Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP: Caleg asal PDIP mengaku mengeluarkan sedi... http://t.co/a8nw3mn9IX','461909533950889985','Yunus_DeLonge','2014-05-01 23:46:29','Other','Possibly Positive'
'#FollowRadioPepatah #FollowRadioPepatah- Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah #FollowRadioPepatah','461909434046763008','RadioPepatah9','2014-05-01 23:46:05','Other','Possibly Positive'
'Mau lu apa sihh?? Hah?? #emosi @kompascom: Kecewa Putusan Upah  Buruh Bawa Keranda Bergambar Jokowi-Ahok http://t.co/K9WfIk3ocW','461909359312658432','henz_abash','2014-05-01 23:45:47','Negative','Negative'
'#FollowRadioPepatah #FollowRadioPepatah  Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah #FollowRadioPepatah','461909310097084416','RadioPepatah9','2014-05-01 23:45:36','Other','Possibly Positive'
'Ini Bocoran #JOKOWI Soal Cawapres Yang Diinginkan..http://t.co/4866ceFWjQ','461909262239666176','Politik10Menit','2014-05-01 23:45:24','Other','Possibly Negative'
'Dah bc sluruh TL ku? Kalo km yakin JKW hebat santai aja. Hati2 lho. Jngn2 km ga yakin @christiyantosw @vrustl @masbedjo cuma hantam #JOKOWI','461909260335468547','RatnaSpaet','2014-05-01 23:45:24','Other','Possibly Positive'
'Saya menambahkan video ke daftar putar @YouTube http://t.co/5ugnSyan0q Nasib Buruh Di Mata Jokowi Dan Prabowo','461909241541177344','TyoJB','2014-05-01 23:45:19','Other','Possibly Negative'
'#IGOMrLonely News : Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP http://t.co/kk0KNyrqsZ #Openfollowpro #TFB','461909208590745600','IGONewsUpdate','2014-05-01 23:45:11','Other','Possibly Positive'
'#FollowRadioPepatah #FollowRadioPepatah. Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah #FollowRadioPepatah','461909198335655936','RadioPepatah9','2014-05-01 23:45:09','Other','Possibly Positive'
'#FollowRadioPepatah #FollowRadioPepatah Jokowi Effect Dianggap Mampu Tekan Dana Kampanye Caleg PDIP #FollowRadioPepatah #FollowRadioPepatah','461909188223184896','RadioPepatah9','2014-05-01 23:45:07','Other','Possibly Positive'
'@taufiqaris @TrioMacan2000 hti2 itu tanda dia ga suka kalo RR jdi cawapres nya jokowi maka nya di puji2 biar org brnggapan RR byar triomacan','461909099219648512','ultras_jokowi','2014-05-01 23:44:45','Other','Possibly Negative'
'@TrioMacan2000 nabi Jokowi lg d indosiar tuh om','461909038486519808','ipoey46','2014-05-01 23:44:31','Other','Possibly Negative'
